Date,Open,High,Low,Close,Volume
25-Nov-16,193.64,197.24,193.64,196.65,2366098
23-Nov-16,190.61,195.64,189.00,193.14,4891893
22-Nov-16,185.84,191.47,183.71,191.17,5603361
21-Nov-16,185.04,188.89,184.41,184.52,4361043
18-Nov-16,190.65,193.00,185.00,185.02,5210347
17-Nov-16,183.49,189.49,182.11,188.66,4887067
16-Nov-16,182.65,184.73,181.21,183.93,3434437
15-Nov-16,182.78,186.43,182.05,183.77,3902018
14-Nov-16,188.00,188.25,178.19,181.45,6552205
11-Nov-16,184.24,188.88,183.00,188.56,3988504
10-Nov-16,191.05,191.61,180.42,185.35,6750341
9-Nov-16,186.88,192.00,183.95,190.06,8173065
8-Nov-16,193.79,197.49,191.26,194.94,3267580
7-Nov-16,193.59,194.29,190.05,193.21,3870112
4-Nov-16,189.00,193.46,185.96,190.56,5146043
3-Nov-16,189.00,191.47,187.04,187.42,2653023
2-Nov-16,190.05,192.70,187.50,188.02,4253382
1-Nov-16,198.04,198.50,188.10,190.79,7060036
31-Oct-16,202.49,202.49,195.81,197.73,4692273
28-Oct-16,204.00,205.32,199.83,199.97,4280141
27-Oct-16,211.34,213.70,201.65,204.01,13093744
26-Oct-16,201.00,203.19,200.10,202.24,5632841
25-Oct-16,202.90,204.69,201.20,202.34,2445014
24-Oct-16,201.00,203.95,200.25,202.76,2751562
21-Oct-16,198.60,201.57,197.41,200.09,2943402
20-Oct-16,202.12,203.00,197.05,199.10,5072877
19-Oct-16,199.74,206.66,198.06,203.56,6991183
18-Oct-16,195.99,199.47,193.26,199.10,5680475
17-Oct-16,197.05,198.39,192.00,193.96,4554080
14-Oct-16,200.66,201.43,196.30,196.51,4269850
13-Oct-16,200.50,200.90,197.05,200.24,2495413
12-Oct-16,200.95,203.88,200.42,201.51,1970689
11-Oct-16,201.85,202.20,198.31,200.10,2328422
10-Oct-16,201.35,204.14,199.66,200.95,3316297
7-Oct-16,201.00,201.32,195.80,196.61,3493018
6-Oct-16,202.46,204.21,200.21,201.00,4703402
5-Oct-16,212.24,213.15,208.12,208.46,1877534
4-Oct-16,213.10,213.32,208.82,211.41,3541481
3-Oct-16,212.30,215.67,208.25,213.70,5999892
30-Sep-16,202.21,204.98,199.55,204.03,2586273
29-Sep-16,205.60,207.33,200.58,200.70,2727029
28-Sep-16,207.51,208.25,205.26,206.27,2088374
27-Sep-16,209.65,209.98,204.61,205.81,3373180
26-Sep-16,206.50,211.00,206.50,208.99,2394358
23-Sep-16,205.99,210.18,205.67,207.45,2905229
22-Sep-16,206.40,207.28,203.00,206.43,2382902
21-Sep-16,206.37,207.00,201.56,205.22,2633503
20-Sep-16,206.85,207.75,203.91,204.64,2410488
19-Sep-16,207.00,209.43,205.00,206.34,2299498
16-Sep-16,200.42,205.70,199.00,205.40,3107808
15-Sep-16,196.49,202.52,196.40,200.42,3085115
14-Sep-16,195.75,197.92,194.86,196.41,2259231
13-Sep-16,197.06,198.49,193.45,196.05,3589379
